item	total	count part-1	specif part-1	count part-2	specif part-2
인류	33	17	1.83	16	-1.83
특징을	33	16	1.54	17	-1.54
이렇게	33	14	1.10	19	-1.10
전에	33	16	1.54	17	-1.54
언어학과	33	17	1.83	16	-1.83
f	33	10	-0.86	23	0.86
과정에서	33	14	1.10	19	-1.10
바	33	14	1.10	19	-1.10
의해	33	12	0.87	21	-0.87
알고	33	9	-0.94	24	0.94
화자	33	17	1.83	16	-1.83
S	33	5	-1.97	28	1.97
중세	33	15	1.29	18	-1.29
이유로	33	12	0.87	21	-0.87
영상	33	3	-3.02	30	3.02
의사소통을	32	15	1.38	17	-1.38
글로벌	32	10	-0.84	22	0.84
모국어로	32	16	1.65	16	-1.65
세계의	32	16	1.65	16	-1.65
마찬가지로	32	12	0.89	20	-0.89
사용한다	32	12	0.89	20	-0.89
따르면	32	14	1.16	18	-1.16
쓰인다	32	12	0.89	20	-0.89
Flag	32	6	-1.51	26	1.51
사회적	32	14	1.16	18	-1.16
모음	32	16	1.65	16	-1.65
못하는	32	14	1.16	18	-1.16
이해할	32	15	1.38	17	-1.38
다소	32	14	1.16	18	-1.16
사이의	32	14	1.16	18	-1.16
말한다	32	14	1.16	18	-1.16
예로	32	13	1.00	19	-1.00
제외한	32	14	1.16	18	-1.16
아주	32	13	1.00	19	-1.00
한국에서	32	12	0.89	20	-0.89
SQL	32	9	-0.90	23	0.90
있으나	32	14	1.16	18	-1.16
과학	32	5	-1.87	27	1.87
문제는	32	13	1.00	19	-1.00
2023	32	10	-0.84	22	0.84
한국인	32	11	0.83	21	0.83
남한	32	11	0.83	21	0.83
02	32	0	-5.69	32	5.69
기사보내기	32	0	-5.69	32	5.69
쓰이고	31	14	1.23	17	-1.23
언어적	31	16	1.77	15	-1.77
Other	31	6	-1.42	25	1.42
문법적	31	15	1.47	16	-1.47
바로가기	31	1	-4.32	30	4.32
기능	31	5	-1.76	26	1.76
인	31	16	1.77	15	-1.77
잘못된	31	7	-1.16	24	1.16
가르치는	31	14	1.23	17	-1.23
들면	31	12	0.91	19	-0.91
수많은	31	13	1.04	18	-1.04
자체가	31	14	1.23	17	-1.23
전혀	31	14	1.23	17	-1.23
로마자	31	14	1.23	17	-1.23
e	31	3	-2.75	28	2.75
점이	31	15	1.47	16	-1.47
가진	31	13	1.04	18	-1.04
점	31	12	0.91	19	-0.91
논리	31	14	1.23	17	-1.23
코드를	31	15	1.47	16	-1.47
산업	31	2	-3.44	29	3.44
